Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances,,,,,,
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses,,,,,,
,,,,,,
,Coal and coal products,Natural gas,Biofuels and waste,Electricity,Oil and oil products,Units
1990,14546,54269,352,60749,271063,TJ
1991,17405,53028,207,62964,232037,TJ
1992,17727,53871,207,65257,251719,TJ
1993,21260,65269,207,67633,263801,TJ
1994,18452,36303,264,70095,196444,TJ
1995,15573,35400,264,72648,236702,TJ
1996,16699,34542,264,75427,265549,TJ
1997,17130,43160,264,77385,276103,TJ
1998,17466,55472,264,80884,240304,TJ
1999,15438,90051,264,84373,240571,TJ
2000,18277,74979,330,88387,229652,TJ
2001,17356,170661,529,91447,260574,TJ
2002,18615,137699,529,95490,256298,TJ
2003,19314,124193,529,102189,234769,TJ
2004,19734,29210,529,109022,238830,TJ
2005,19314,206607,529,117723,232740,TJ
2006,17671,249003,529,124448,222484,TJ
2007,16335,339361,710,133361,223187,TJ
2008,14447,298756,710,134182,220200,TJ
2009,12826,206552,710,140097,228642,TJ
2010,14747,224939,710,146527,222165,TJ
2011,10346,245551,710,170589,212707,TJ
2012,9662,259692,710,143593,156594,TJ
2013,10227,253584,710,134352,206402,TJ
2014,8505,178669,710,137671,227147,TJ
2015,7709,212320,710,137916,201959,TJ
2016,43231,190414,710,149324,208340,TJ
2017,82709,259970,710,157042,184165,TJ
2018,113522,259766,710,159897,186831,TJ
2019,80974,238640,710,148129,135482,TJ
2020,36459,299000,710,164918,151855,TJ
2021,72618,340336,710,177478,154199,TJ
2022,69059,332633,710,179374,194315,TJ
2023,90700,328343,710,184273,217363,TJ
