Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203335195.5,206810055.9,262463687.2,291620111.7,267882681.6,246845251.4,247564804.5,259779888.3,304413407.8,351674860.3,384622905,436061452.5,468039664.8,460068156.4,333092178.8,283293854.7,326209497.2,263510055.9,293234636.9,301397765.4,369439664.8,379334078.2,383301117.3,372114525.1,389172467.5,311681564.2,317116349.4,323625246.6,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,52872177605,58274226286,51467358463,40760435314,46732803678,58305072640,63767998661,67357279722,78115537411,80853860035,76623974288,73141197040,74501196480,82197299888,80094328436,82103662825,75569279911,72981220792,80133803575,73179670695,73734881739,95230854163,1.20E+11,1.45E+11,1.64E+11,1.97E+11,2.21E+11,1.94E+11,2.36E+11,2.75E+11,2.76E+11,2.73E+11,2.71E+11,2.26E+11,2.06E+11,2.48E+11,2.67E+11,2.65E+11,2.36E+11,2.89E+11,3.23E+11,3.12E+11,3.22E+11,
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910904371.5,1026746092,1370322677,1663223299,1966786560,2620450317,2720980787,2718780137,3353910675,4048924287,4211954444,4118855391,4351471362,4233263327,1896226793,1885073817,2416829505,2642847031,2584811587,2035422840,2326860951,2306945150,,
Africa Western and Central,AFW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,82688405502,66209495841,47461537013,36094342245,39643190471,33625550986,33831716960,32266367841,31898618998,39761386677,42386649531,39974765535,39865332073,42319548891,73924094358,95472477782,96244576230,86741971682,38847806919,45154539713,41714305648,45081445573,56489914940,74321368858,93118249544,1.13E+11,1.28E+11,1.62E+11,1.27E+11,1.66E+11,2.10E+11,2.22E+11,2.43E+11,2.47E+11,1.80E+11,1.51E+11,1.70E+11,2.08E+11,2.40E+11,2.05E+11,2.25E+11,2.46E+11,2.18E+11,1.78E+11,
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8988077044,9951949832,13579409734,23233571739,31802849256,42292754007,55527955024,33476507422,46388162073,65501120239,76612087995,74980830192,67512776887,37668051729,22391083068,31302944114,36869567499,34090196852,21604649150,30369624279,45836832231,37647200867,34912616191,
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573814278.7,621802377.1,463539651.7,439907882.4,608291529.3,778288516.6,989869733.4,1184661263,1571375591,2053861043,2323193532,2601351075,3176915635,3786848149,3400646095,3320768055,3495257819,3111556881,3264102058,3168336706,2808059695,2861337723,3043214466,3653185141,3579202094,3576974731,4045322008,4378731055,5440739067,6058698514,
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212652569.3,231063479.5,265829140.5,366756103.7,457668778.8,506904702.7,559281195,612384742.7,633101101.2,544732048.5,452825035.9,432188125.5,353034285.9,339095153,332191708,278465676.1,293739020.9,311882205.9,356482788.2,369146825.8,366005487.1,411014152.7,376780704.8,470416504.5,515202026.2,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,93847922012,1.21E+11,1.35E+11,1.38E+11,2.07E+11,3.08E+11,3.04E+11,2.44E+11,1.97E+11,1.89E+11,1.73E+11,1.41E+11,1.55E+11,1.56E+11,1.75E+11,3.71E+11,1.88E+11,2.03E+11,1.94E+11,2.02E+11,2.25E+11,2.51E+11,2.74E+11,2.39E+11,2.91E+11,3.82E+11,3.48E+11,3.49E+11,3.93E+11,4.90E+11,6.46E+11,7.86E+11,8.95E+11,1.19E+12,8.73E+11,1.08E+12,1.37E+12,1.52E+12,1.50E+12,1.45E+12,1.04E+12,9.68E+11,1.06E+12,1.30E+12,1.26E+12,9.44E+11,1.32E+12,1.82E+12,1.62E+12,1.60E+12,
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,10892677502,13797876689,16908257116,16181499794,22281241908,31680722022,33725960229,29443203487,26283029147,26259874694,24870607464,17703078180,19895668755,19231272133,22837646445,29864342141,24115227458,29993189867,28635794062,27434758921,29943067284,34112775810,35815309180,30287542546,35484547311,50621375085,51321443159,52212933969,61080190606,76393192648,1.01E+11,1.29E+11,1.41E+11,1.83E+11,1.32E+11,1.55E+11,2.06E+11,2.17E+11,2.17E+11,2.16E+11,1.61E+11,1.52E+11,1.67E+11,2.02E+11,1.89E+11,1.44E+11,1.92E+11,2.52E+11,2.37E+11,2.45E+11,
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,13722940987,14202380230,11493637302,12434857435,14811143097,13353421858,15299799238,15831874375,22779001001,31577221374,26293432187,26042050145,27144799969,41049703442,30490501123,31723447657,31736843040,34652778710,43209876321,46424848613,34622280491,39575553313,41161716459,48835751265,32451014291,50917885416,62081175459,70198419813,64722201101,68876935900,67865473300,72371587300,79596589500,79855462400,74264967000,73866930600,67828286700,29862244294,41650893935,47449347397,56891104940,67914347258,78827167842,94990190458,84190456294,1.07E+11,1.34E+11,1.33E+11,1.33E+11,1.28E+11,1.38E+11,1.23E+11,1.40E+11,1.24E+11,1.04E+11,86440113649,1.14E+11,1.53E+11,1.63E+11,1.53E+11,
