Source: IEA Energy Transitions Indicators https://www.iea.org/data-and-statistics/data-product/iea-energy-and-carbon-tracker-2022,,,,,
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses,,,,,
,,,,,
,Transport share in TFC,Industry share in TFC,Residential share in TFC,Commercial and public services share in TFC,Units
1990,23.011584,41.088032,24.320213,0.102274,%
1991,24.656319,38.44633,24.695666,0.104948,%
1992,24.618567,39.36123,23.825087,0.133305,%
1993,24.510621,40.587794,21.92336,0.130332,%
1994,28.233577,32.819647,25.308606,0.155056,%
1995,27.566977,33.90836,24.508291,0.18306,%
1996,27.457162,34.728619,23.488496,3.073943,%
1997,27.408554,34.379206,23.631863,3.473421,%
1998,29.361867,31.614179,24.456909,3.594033,%
1999,29.475976,32.606596,22.28383,3.782276,%
2000,30.309066,31.124431,23.417746,4.046488,%
2001,27.339787,38.103101,22.75163,4.130981,%
2002,26.200293,33.323394,22.137234,4.197531,%
2003,27.881197,31.758832,22.881677,4.523627,%
2004,28.682294,26.326228,24.030007,4.988908,%
2005,24.165439,32.691358,21.219652,4.619966,%
2006,24.587915,32.542138,20.690619,4.649021,%
2007,24.524668,34.016123,20.198152,4.457587,%
2008,25.623582,31.45729,21.019551,4.557531,%
2009,27.07977,27.406027,22.242773,4.792805,%
2010,28.11691,27.467024,22.254478,4.733468,%
2011,28.236141,27.729365,22.424174,4.661463,%
2012,30.381984,24.369743,22.503816,5.396271,%
2013,31.302468,26.434608,23.425278,6.152529,%
2014,33.310583,24.631173,24.656625,6.126473,%
2015,32.954269,24.069729,25.475791,5.918559,%
2016,33.137505,24.4918,23.495657,6.055393,%
2017,30.761727,27.078539,22.990613,5.809962,%
2018,30.654689,28.118116,21.784765,5.704459,%
2019,30.347544,25.157342,23.197036,5.783666,%
2020,30.018983,26.163512,20.630701,6.770245,%
2021,32.504324,27.364374,19.062747,6.09163,%
2022,32.963183,27.42419,17.951929,6.20043,%
2023,32.409184,27.647794,17.928969,6.195321,%
