Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture and forestry,Other non-specified,Non-energy use,Units
1990,400981,224572,237343,998,4708,17099,90205,TJ
1991,365642,234493,234867,998,4989,18107,91947,TJ
1992,388783,243165,235328,1316,5086,18453,95598,TJ
1993,418172,252530,225874,1342,5353,19452,107564,TJ
1994,321559,276626,247968,1519,5626,24828,101649,TJ
1995,360588,293152,260626,1946,5940,28145,113020,TJ
1996,392483,310305,265453,34740,6984,8242,111935,TJ
1997,414044,330093,284609,41832,11271,9575,112918,TJ
1998,394392,366294,305104,44836,11456,324,125109,TJ
1999,430698,389346,294346,49959,11714,3924,140903,TJ
2000,411628,400844,309705,53515,12323,374,134132,TJ
2001,540568,387869,322777,58606,12612,358,95907,TJ
2002,508633,399909,337892,64069,13404,383,202061,TJ
2003,480996,422268,346549,68511,13808,400,181992,TJ
2004,397327,432886,362671,75294,43369,408,197286,TJ
2005,576915,426455,374470,81530,86976,400,217985,TJ
2006,614136,464024,390474,87736,90559,359,239913,TJ
2007,712955,514020,423340,93428,98794,325,253069,TJ
2008,668297,544362,446551,96822,103702,292,264429,TJ
2009,588829,581819,477894,102975,112376,259,284384,TJ
2010,609089,623501,493499,104966,113854,192,272426,TJ
2011,639904,651599,517477,107571,115442,410,275272,TJ
2012,570251,710938,526589,126272,115260,3805,286881,TJ
2013,605276,716736,536371,140875,56478,3558,230415,TJ
2014,552703,747463,553275,137473,59079,4193,189731,TJ
2015,560616,767549,593365,137851,59978,3240,206533,TJ
2016,592021,801007,567942,146372,61586,3167,245125,TJ
2017,684598,777716,581247,146887,61480,2589,273675,TJ
2018,720728,785745,558390,146217,61963,2611,287558,TJ
2019,603936,728534,556876,138844,59851,1346,311246,TJ
2020,652943,749161,514865,168959,62156,20975,326564,TJ
2021,745343,885344,519226,165922,45181,25319,337436,TJ
2022,776093,932844,508032,175469,50340,26462,360716,TJ
2023,821390,962846,532653,184057,51739,27591,390628,TJ
