Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion,,,,,,,,,,
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses,,,,,,,,,,
,,,,,,,,,,
,Electricity and heat producers,Other energy industries,Transport Sector,Industry Sector,Commercial and Public Services,Residential,Agriculture/Forestry,Fishing,Non-specified (Other),Units
1990,22.381,2.981,16.149,26.538,0.055,9.743,0,0,0.011,MtCO2
1991,23.824,3.082,16.901,24.125,0.055,9.263,0,0,0.011,MtCO2
1992,24.544,3.089,17.566,25.732,0.073,9.083,0,0,0.011,MtCO2
1993,24.359,3.102,18.276,27.974,0.075,8.084,0,0,0.013,MtCO2
1994,23.181,3.563,20.023,20.514,0.085,9,0,0,0.26,MtCO2
1995,23.207,4.051,21.229,22.982,0.109,9.501,0,0,0.384,MtCO2
1996,24.027,3.918,22.478,25.316,0.103,9.658,0,0,0.458,MtCO2
1997,26.057,4.433,24.067,26.721,0.103,10.645,0.264,0,0.533,MtCO2
1998,29.735,4.843,26.72,24.743,0.106,11.377,0.245,0,0.014,MtCO2
1999,31.486,5.201,28.39,26.291,0.141,10.332,0.228,0,0.216,MtCO2
2000,27.082,7.358,29.249,25.12,0.172,10.874,0.228,0,0.016,MtCO2
2001,31.89,7.523,28.163,32.627,0.186,11.127,0.199,0,0.015,MtCO2
2002,35.251,6.623,29.018,30.67,0.183,11.537,0.189,0,0.017,MtCO2
2003,38.115,8.779,30.644,28.471,0.177,11.469,0.143,0,0.017,MtCO2
2004,49.992,9.084,31.342,23.538,0.178,12.083,2.287,0,0.018,MtCO2
2005,52.015,11.589,30.786,32.926,0.178,12.056,5.457,0,0.017,MtCO2
2006,54.584,11.729,33.462,34.097,0.178,12.359,5.705,0,0.015,MtCO2
2007,55.308,12.278,37.031,39.047,0.178,13.531,6.204,0,0.014,MtCO2
2008,60.996,13.761,39.053,36.191,0.178,14.21,6.459,0,0.012,MtCO2
2009,65.283,13.525,41.781,31.353,0.178,15.261,7.053,0,0.011,MtCO2
2010,62.641,15.225,44.842,31.768,0.201,15.297,7.137,0,0.008,MtCO2
2011,66.725,14.701,46.765,31.786,0.23,15.498,7.291,0,0.018,MtCO2
2012,73.434,14.258,50.901,28.188,0.242,15.285,6.878,0,0.28,MtCO2
2013,75.185,12.958,51.399,31.585,0.282,15.413,2.549,0,0.273,MtCO2
2014,80.374,11.803,53.595,28.816,0.282,15.808,2.629,0,0.321,MtCO2
2015,86,10.79,54.979,28.605,0.282,16.277,2.642,0,0.248,MtCO2
2016,84.524,14.657,57.396,31.232,0.282,16.691,2.764,0,0.242,MtCO2
2017,91.055,14.696,55.712,37.058,0.282,16.772,2.673,0,0.195,MtCO2
2018,82.03,14.837,56.164,40.135,0.282,16.771,2.667,0,0.199,MtCO2
2019,75.541,16.212,51.96,31.94,0.282,16.311,2.468,0,0.102,MtCO2
2020,75.074,25.621,53.436,32.264,1.579,13.701,2.492,0,1.189,MtCO2
2021,81.662,24.778,63.365,38.24,1.878,13.783,1.043,0,1.468,MtCO2
2022,81.318,23.466,67.015,40.526,1.751,12.953,1.185,0,1.565,MtCO2
2023,86.045,24.234,69.159,44.11,1.944,13.994,1.193,0,1.661,MtCO2
