Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3963621,14.98744939,17.13384391,17.51090238,15.54831388,13.17595453,13.05406907,13.24162087,14.89220981,15.59650825,16.29746113,17.65586324,17.47955029,16.18234888,13.04303599,11.546062,12.36644833,10.07606346,10.74966464,10.7994982,12.46882544,12.71381282,12.39482781,11.35815643,11.62881045,12.61144069,11.0075338,9.735917364,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,29.6442574,31.37146697,30.2680591,27.29460163,29.10730646,30.6586051,30.75099874,30.53181834,30.46829241,29.1977095,31.76935687,30.47788917,30.59879692,30.07287594,29.29269934,28.48144571,28.12109047,27.50676301,27.91710199,28.05431575,27.33492955,26.59217477,26.88931495,27.81520969,27.89436531,29.22354479,30.46459981,26.69776948,27.32121637,28.60525774,28.4590122,27.80337274,27.16377009,24.87855058,24.74844448,25.39373695,26.17256262,26.03302062,25.09561857,25.94278573,26.32105266,26.41668962,25.9484294,
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,12.9525996,14.27365702,16.05036772,13.44982271,,
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,37.9990442,33.73476944,31.34400071,27.47469127,28.72589494,30.70328139,30.03495376,28.8684574,30.5024102,31.99395099,32.40710375,31.86524218,30.53712003,31.2665774,35.56712853,36.22370224,34.81319829,29.19361649,27.72485326,31.64294925,27.67771241,25.02728598,27.07445729,28.81351113,29.41979149,28.1434367,27.07687486,28.13588117,24.61563423,27.34035941,30.32283918,29.73697232,28.75860824,27.34160059,23.15222737,21.51731497,24.42401181,26.69683656,23.33478385,21.23950361,21.92209012,23.08165864,23.18987786,24.17654348,
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.91965219,48.92285496,50.29787707,56.12429842,54.2214233,57.90527824,56.20782635,40.97232183,48.55013871,52.17066301,53.36110365,50.37504054,43.99663621,36.73388413,37.39435133,37.09893451,41.1891594,42.22510451,36.70985113,38.1721951,34.93335918,35.12922672,34.56731746,
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75201202,19.22414667,20.20955299,16.91721108,18.52321448,21.71218531,24.38664986,26.23832657,27.08468776,27.72997522,28.13721316,28.42842552,28.57725457,28.56164972,27.5678723,27.47491428,26.9409865,25.4077242,25.50680361,23.82866906,24.48140915,23.86701789,22.95333271,23.75358863,22.96552109,23.46871642,22.43414124,23.02505222,23.16071197,22.40110311,
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84375504,14.92401761,15.06728909,15.49493665,15.78035401,16.03578288,16.16729519,15.47353148,15.43276711,14.76648871,13.12564606,11.90885311,11.07157967,10.61824715,10.1535313,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763,12.66015827,12.36263639,11.1453411,12.42822618,12.75302288,
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,55.80539987,57.41267124,55.68300863,51.94895544,57.78909345,63.35252209,61.32679375,52.60333271,45.11735292,43.03291994,39.8973229,34.7396028,35.91733618,36.37891926,38.33419091,57.74003201,40.16810139,43.42233715,40.56070467,40.33746982,42.63953022,43.91262025,44.65493765,39.87173834,43.76810022,50.00591782,46.75056864,46.79654769,47.40389581,49.61590493,53.41734229,54.63108228,53.422322,56.14876272,47.71831471,50.0622317,53.42530595,54.18995004,52.00800372,49.49591191,40.42653733,38.15599488,40.7677493,44.53078638,42.43788323,36.24804773,42.73396575,48.63781949,44.61151004,42.72422985,
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.6434763,57.90311172,54.84022859,58.01797844,52.044956,50.25925487,55.75102088,55.35640754,52.98941222,50.74020699,42.15880285,39.87492296,41.41227171,45.74398454,43.46696837,40.32158832,45.38118725,49.33329926,45.4007388,44.329286,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.40887637,23.49946443,24.11186363,25.17221053,23.99659756,
