"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","337679520.852132","337194109.472867","369439664.804469","387141687.471591","414525108.601547","416895932.369658","415300901.927425","344415091.094884","361042348.728357","377615454.441202","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","113135193093.795","111421699887.572","111973206789.235","118620374923.267","118348013675.675","118810856488.03","120300552182.793","124833102494.524","126300585696.727","122621943599.504","117664813735.687","112610449564.888","110947331978.882","113399970403.61","115011267031.123","118652058879.123","120974402108.515","120845394364.73","123146962318.419","129372509163.347","131380510836.924","136184068060.198","139097601134.546","148574458075.164","159849965527.588","171580577459.795","185077502413.446","189707081178.664","185203100500.354","196847516714.855","203811109637.26","205459137760.991","213056632339.36","221386899929.177","226395316680.256","230784386659.376","238754228981.063","246194053875.911","249861399105.362","237469842763.773","248376742009.89","255960796878.168","262919486805.606","271351842050.141","",
"Afghanistan","AFG","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1508858942.62797","1663814122.03971","1954583540.16967","2208517631.05664","2510367737.794","2701987275.817","2857130464.60977","3031619454.38842","3221720224.46291","3537695925.88461","3763898715.42685","3954389278.68295","4063759007.59233","4233263326.94392","4200840152.31937","4587602785.7513","5095663354.34646","5342745347.09699","5095362712.42438","4442710947.69659","4188355988.82779","4263593242.05481","","",
"Africa Western and Central","AFW","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","109257891018.8","99809287089.4852","86668475097.5846","89798023258.0993","93623866754.8842","90975368905.4939","93312101964.2608","98240294021.5409","99741895723.5394","113701436086.723","110889459978.261","115564369232.032","109660885431.171","105751661842.55","104197326757.14","109485527310.468","112471929382.876","113790097666.571","109784189029.228","115695369166.293","121058946016.386","124196550808.522","135643306437.684","138783665201.664","142924728080.44","142265942815.306","141568453925.617","141394650983.766","144712297936.352","149979885668.35","162645091328.779","168917335647.375","174208860109.634","181860805721.25","180129435792.057","170527474582.39","177363138871.311","183297462037.553","191496247449.084","168775228176.882","164083490810.058","174141917379.646","180201774303.013","187859636721.687","",
"Angola","AGO","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14447534424.4584","14957129627.2018","17555140711.083","20627219157.3907","23137604307.692","27208127621.7181","29621557349.6201","29462982651.8097","30569335892.0103","31074827678.5872","35289486546.1925","37891795830.0246","37427918365.8873","37668051728.9944","37953411592.0287","36957767348.8149","35655873472.2375","35234793797.0813","30726788095.3369","29056422541.1487","30441335019.6489","30504822126.7425","31820188904.5043","",
"Albania","ALB","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","751013566.127631","870068621.837709","722735356.690082","853246757.46127","1025084275.02698","1304151154.60997","1580852474.82529","1699816739.9147","1900322753.53267","2035566281.90448","2163303671.47806","2363314794.78701","2515701357.21042","2690438065.03976","2713244720.36169","2740152555.56978","2790243659.0448","2623171514.09073","2697246845.87596","2657097172.33403","2808059694.85939","2888593379.10168","2966364824.92701","3211431694.02558","3221343140.83786","3131658801.35688","3408882036.89951","3711320378.40952","3873889008.49746","3874306975.24825","",
"Andorra","AND","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332603966.802962","361563227.045522","381645697.726552","426592179.726952","469794805.72984","503153083.359674","531684817.615748","516777661.50798","486738335.615347","441026807.112813","384289608.432458","348647441.980075","307998721.212254","284901067.258106","279241973.279082","278465676.093093","293406584.252425","301810845.092049","326697357.779129","352033897.820406","338319314.20126","357771746.586414","353383979.882996","404248321.591083","428651054.872402","",
"Arab World","ARB","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","660976960354.321","667828587811.8","655177431055.077","681119552383.67","742565537710.026","776992505893.163","823564492403.401","844124778946.654","890470335734.735","868735664833.915","916095742162.597","949531029518.714","999276058705.607","999025203614.366","1011117228590.82","1043137498138.62","1086184999495.9","1084608109216","1113605473994.37","1116738752464.56","1045415470672.26","1087779708700.99","1180174161285.01","1164105814038.32","1158456214591.94","",
"United Arab Emirates","ARE","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98948834548.4964","95289535559.3713","102047029883.558","111598419925.462","115870872342.027","131883431366.248","128346276237.552","131648957244.348","123075531652.386","126111492137.91","136871391582.603","142406868399.042","146620420421.438","148662587746.867","161035262083.05","169682612919.191","163226628847.78","169109571620.329","168277651532.442","155771541388.194","160930467238.779","174905259363.644","176506489060.425","181764881203.877","",
"Argentina","ARG","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","56245012313.7191","56869181038.3357","59275361622.1084","64891232918.5035","72383684858.5866","71710335092.5204","76249072958.1822","78631013039.2615","79264576069.96","84050177434.7076","83133183637.8536","83595112297.5827","90808609667.9668","83239803731.4522","89517254657.8195","88363421591.3349","78940934579.2696","76407419048.4934","80516371512.976","81059282479.7463","74046834313.16","80437271732.8818","83137371510.5053","80184351874.6029","73297509420.8939","69394191297.8103","76810667641.7281","85272709112.5119","89937379582.8031","95519209253.7635","92126904779.4787","97832734759.8314","106022449569.419","108085754207.777","100927786461.202","98712066321.1635","93587440663.1616","82959297869.6097","94707463303.9408","104950392908.948","111808254681.811","121496353134.346","128826650230.193","132784260080.578","124241795959.535","135181158734.066","143063461033.578","139914453094.173","140685653412.771","135815066829.015","137702635919.615","129681238786.156","132667581022.123","128622128322.544","122524467949.996","111149314920.604","128247562178.788","135511047980.007","135231501493.326","125828034688.795","",
"Armenia","ARM","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3344440449.49811","2810673920.35195","760213375.871432","765416615.030301","832248246.408243","838751007.128435","888912772.453898","906005653.996282","914182305.410867","969165083.24813","1199085509.92132","1260899929.5654","1529945240.6443","1908316355.97057","2049226089.09401","2352459459.42857","2742201691.62554","3051001159.73889","3277795242.65459","2341893901.65791","2515646995.73223","2560129082.96612","2687919108.93697","2701358704.48166","2639227454.2333","2713125822.98715","2704986445.52158","2948435225.54381","3057527329.0859","3378567698.4871","3294103506.16643","3379750197.29053","3710965716.54621","3785185030.86967","4042577612.96881","",
"American Samoa","ASM","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
