Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion,,
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses,,
,,
,Total CO2 emissions - Fuel Combustion,Units
1990,77.862,MtCO2
1991,77.264,MtCO2
1992,80.102,MtCO2
1993,81.887,MtCO2
1994,76.629,MtCO2
1995,81.466,MtCO2
1996,85.962,MtCO2
1997,92.827,MtCO2
1998,97.785,MtCO2
1999,102.288,MtCO2
2000,100.104,MtCO2
2001,111.733,MtCO2
2002,113.49,MtCO2
2003,117.819,MtCO2
2004,128.526,MtCO2
2005,145.027,MtCO2
2006,152.133,MtCO2
2007,163.594,MtCO2
2008,170.863,MtCO2
2009,174.449,MtCO2
2010,177.123,MtCO2
2011,183.016,MtCO2
2012,189.47,MtCO2
2013,189.648,MtCO2
2014,193.632,MtCO2
2015,199.827,MtCO2
2016,207.792,MtCO2
2017,218.447,MtCO2
2018,213.088,MtCO2
2019,194.819,MtCO2
2020,205.358,MtCO2
2021,226.22,MtCO2
2022,229.783,MtCO2
2023,242.342,MtCO2
